,Concurso,Data Sorteio,Dezena1,Dezena2,Dezena3,Dezena4,Dezena5,Dezena6,Arrecadacao_Total,Ganhadores_Sena,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio
485,486,2003-08-06 00:00:00,50,42,19,8,30,14,0,1,5125800.12,55,17368.92,4325,220.05,NÃO,0,0
486,487,2003-08-09 00:00:00,25,22,48,52,54,8,0,2,467702.34,104,7495.23,5329,145.73,NÃO,0,0
487,488,2003-08-13 00:00:00,30,39,35,43,15,57,0,0,0,46,11864.07,2699,201.45,SIM,654896.68,0
488,489,2003-08-16 00:00:00,28,36,17,53,33,59,0,0,0,67,12406.82,5107,162.16,SIM,9662631.84,0
489,490,2003-08-20 00:00:00,5,11,29,54,23,58,0,1,11070173.5,148,7925.35,8438,138.49,NÃO,0,0
490,491,2003-08-23 00:00:00,22,43,15,55,9,1,0,1,849344.26,81,8738.11,4221,167.05,NÃO,0,0
491,492,2003-08-27 00:00:00,57,2,15,6,56,18,0,0,0,26,19041.52,2629,187.61,SIM,594095.53,0
492,493,2003-08-30 00:00:00,54,20,3,18,42,24,0,0,0,79,9663.99,5294,143.67,SIM,1510241.51,0
493,494,2003-09-03 00:00:00,28,32,49,53,18,20,0,0,0,32,21997.6,2766,253.53,SIM,2354949.51,0
494,495,2003-09-06 00:00:00,36,15,60,8,29,49,0,0,0,48,20565.02,5313,185.09,SIM,3539495.03,0
495,496,2003-09-10 00:00:00,41,20,19,29,59,10,0,0,0,31,27720.31,3495,244.94,SIM,4570690.49,0
496,497,2003-09-13 00:00:00,9,41,32,13,58,20,0,0,0,72,15712.44,5439,207.21,SIM,5928244.66,0
497,498,2003-09-17 00:00:00,49,28,2,6,57,50,0,0,0,58,17603,4592,221.5,SIM,7153413.01,0
498,499,2003-09-20 00:00:00,59,1,11,5,44,4,0,1,8698099.22,126,10216.18,8903,144.04,NÃO,0,0
499,500,2003-09-27 00:00:00,35,21,54,29,38,36,0,1,9394248.83,73,23869.01,6818,254.6,NÃO,0,0
500,501,2003-10-01 00:00:00,34,27,56,28,16,39,0,0,0,43,11303.51,3037,159.45,SIM,583261.35,0
501,502,2003-10-04 00:00:00,50,7,33,21,24,13,0,2,730915.33,268,2731.87,9549,76.39,NÃO,0,0
502,503,2003-10-08 00:00:00,10,21,48,27,49,7,0,0,0,40,11636.06,2934,158.04,SIM,558530.93,0
503,504,2003-10-11 00:00:00,39,19,11,8,50,30,0,0,0,54,12855.55,4006,172.64,SIM,1391570.39,0
504,505,2003-10-15 00:00:00,47,20,52,3,46,28,0,0,0,30,19736.18,2559,230.51,SIM,2102072.8,0
505,506,2003-10-18 00:00:00,31,37,34,15,38,4,0,0,0,65,12720.38,4735,173.96,SIM,3094262.01,0
506,507,2003-10-22 00:00:00,44,58,5,27,33,3,0,2,1963484.53,212,3273.22,6604,104.68,NÃO,0,0
507,508,2003-10-25 00:00:00,46,56,5,15,45,10,0,0,0,33,18038.77,3025,196.05,SIM,714335.26,0
508,509,2003-10-29 00:00:00,32,55,34,35,28,33,0,0,0,39,13104.28,2852,178.52,SIM,7199176.21,0
509,510,2003-11-01 00:00:00,30,45,58,1,4,41,0,2,4252983.06,70,15557.02,4392,247.01,NÃO,0,0
510,511,2003-11-05 00:00:00,8,36,34,37,3,4,0,0,0,50,8700.75,3155,137.37,SIM,761315.61,0
511,512,2003-11-08 00:00:00,8,40,58,4,53,31,0,3,653828.5,41,16727.11,2277,300.05,NÃO,0,0
512,513,2003-11-12 00:00:00,46,10,27,19,33,39,0,0,0,46,8485.71,2427,160.23,SIM,683099.65,0
513,514,2003-11-15 00:00:00,15,52,40,36,51,42,0,0,0,20,24964.72,1209,411.42,SIM,4941165.35,0
514,515,2003-11-19 00:00:00,39,16,57,15,45,48,0,0,0,33,20464.65,2636,255.23,SIM,6122998.73,0
515,516,2003-11-22 00:00:00,24,5,34,13,35,33,0,0,0,164,5416.02,7718,114.65,SIM,7677394.38,0
516,517,2003-11-26 00:00:00,51,32,8,28,38,7,0,0,0,36,22385.92,3262,246.13,SIM,9087707.16,0
517,518,2003-11-29 00:00:00,44,8,5,15,18,10,0,0,0,182,6014.85,8653,126.04,SIM,11003437.88,0
518,519,2003-12-03 00:00:00,9,36,15,19,42,22,0,0,0,111,9685.31,7018,152.61,SIM,18558840.36,0
519,520,2003-12-06 00:00:00,32,34,17,35,9,12,0,0,0,166,10017.32,10884,152.2,SIM,21468871.74,0
520,521,2003-12-10 00:00:00,28,32,38,25,15,45,0,0,0,166,10463.37,10610,163.09,SIM,24508480.18,0
521,522,2003-12-13 00:00:00,49,52,15,25,14,6,0,0,0,118,19311.39,8280,274.17,SIM,28496281.66,0
522,523,2003-12-17 00:00:00,45,58,40,39,28,44,0,0,0,123,27528.74,9692,348.05,SIM,34421843.43,0
523,524,2003-12-20 00:00:00,47,29,34,48,19,41,0,1,42794697.56,180,26580.49,17156,277.83,NÃO,0,0
524,525,2003-12-27 00:00:00,26,32,24,49,8,10,0,2,10208722.99,153,11600.82,9640,183.43,NÃO,0,0
525,526,2004-01-03 00:00:00,3,59,21,36,55,31,0,0,0,34,22681.04,2444,314.34,SIM,1349521.77,0
526,527,2004-01-07 00:00:00,17,14,50,52,6,26,0,0,0,23,27463.44,2091,300.94,SIM,2454925.13,0
527,528,2004-01-10 00:00:00,34,28,37,12,8,31,0,0,0,67,12554.6,4827,173.6,SIM,3926952.17,0
528,529,2004-01-14 00:00:00,56,45,13,33,38,1,0,15,348732.75,87,8565.12,4758,156.03,NÃO,0,0
529,530,2004-01-17 00:00:00,32,21,25,1,6,49,0,0,0,49,18501.75,3771,239.5,SIM,7541604.05,0
530,531,2004-01-21 00:00:00,3,1,35,7,18,50,0,0,0,96,9079.1,5188,167.37,SIM,9066892.84,0
531,532,2004-01-24 00:00:00,13,4,12,53,9,52,0,0,0,69,16628.16,5314,215.09,SIM,11074743.03,0
532,533,2004-01-28 00:00:00,27,18,13,59,21,53,0,0,0,82,12747.27,5129,203.03,SIM,12903975.95,0
533,534,2004-01-31 00:00:00,48,57,23,8,31,3,0,1,15184658.12,107,12179.88,6559,197.95,NÃO,0,0
534,535,2004-02-04 00:00:00,49,14,47,56,6,28,0,1,7834139.14,59,12025.02,4136,170.89,NÃO,0,0
535,536,2004-02-07 00:00:00,14,22,25,15,37,23,0,0,0,49,12551.38,3217,190.46,SIM,1076280.35,0
536,537,2004-02-11 00:00:00,37,3,19,34,39,7,0,1,2054340.05,128,4366.34,5345,104.17,NÃO,0,0
537,538,2004-02-14 00:00:00,45,43,56,25,52,3,0,0,0,36,16533.54,2657,223.17,SIM,1041612.8,0
538,539,2004-02-18 00:00:00,16,50,55,6,47,19,0,0,0,21,25214.62,1908,276.47,SIM,5728373.54,0
539,540,2004-02-21 00:00:00,22,4,30,44,28,49,0,0,0,84,10186.19,4535,187.97,SIM,7225743.35,0
540,541,2004-02-28 00:00:00,58,57,27,13,49,52,0,1,9144543.5,54,20304.76,4879,223.88,NÃO,0,0
541,542,2004-03-03 00:00:00,49,4,19,28,35,6,0,0,0,42,9683.43,2800,144.7,SIM,711731.71,0
542,543,2004-03-06 00:00:00,35,54,37,42,49,46,0,1,1836749.58,78,8241.89,2557,250.47,NÃO,0,0
543,544,2004-03-10 00:00:00,11,33,56,47,17,34,0,0,0,39,10062.1,2415,161.89,SIM,4929350.89,0
544,545,2004-03-13 00:00:00,43,35,57,29,40,17,0,1,6409645.53,102,8292.97,4315,195.29,NÃO,0,0
545,546,2004-03-17 00:00:00,46,4,54,17,13,5,0,0,0,32,12224.97,3003,129.78,SIM,684598.29,0
546,547,2004-03-20 00:00:00,4,59,13,53,28,30,0,1,1746857.35,42,14452.51,2599,232.67,NÃO,0,0
547,548,2004-03-24 00:00:00,51,49,14,47,59,58,0,0,0,9,41634.7,965,386.83,SIM,655746.39,0
548,549,2004-03-27 00:00:00,13,51,58,22,46,8,0,0,0,34,17519.41,2772,214.07,SIM,5216225,0
549,550,2004-03-31 00:00:00,17,56,16,38,39,45,0,0,0,39,18277,2948,240.88,SIM,6463630.53,0
550,551,2004-04-03 00:00:00,56,48,57,21,12,46,0,0,0,35,28192.58,3027,324.75,SIM,8190426.28,0
551,552,2004-04-07 00:00:00,22,54,52,47,49,9,0,0,0,69,14110.09,4299,225.61,SIM,9894220.21,0
552,553,2004-04-10 00:00:00,43,46,58,53,54,4,0,0,0,42,23814.78,3308,301.22,SIM,11644606.76,0
553,554,2004-04-14 00:00:00,47,29,31,15,60,42,0,0,0,64,20951.21,4812,277.6,SIM,20258939.21,0
554,555,2004-04-17 00:00:00,49,5,23,33,45,31,0,1,23810057.19,152,13350.07,10733,188.35,NÃO,0,0
555,556,2004-04-21 00:00:00,8,45,30,33,17,10,0,0,0,20,14872.57,1699,174.41,SIM,520539.87,0
556,557,2004-04-24 00:00:00,18,49,38,23,8,12,0,0,0,59,11001.41,3777,171.2,SIM,1656435.01,0
557,558,2004-04-28 00:00:00,59,57,7,58,31,14,0,0,0,21,26571.46,2000,277.94,SIM,2632936.06,0
558,559,2004-05-01 00:00:00,53,25,36,13,17,6,0,1,3707152.54,75,8184.51,4460,137.11,NÃO,0,0
559,560,2004-05-05 00:00:00,32,18,11,30,2,58,0,0,0,44,16215.47,2585,274.97,SIM,6433069.85,0
560,561,2004-05-08 00:00:00,39,49,36,20,55,1,0,0,0,32,31342.98,2743,364.27,SIM,8188276.67,0
561,562,2004-05-12 00:00:00,37,35,23,16,57,55,0,0,0,117,8271.95,5150,187.22,SIM,9881959.48,0
562,563,2004-05-15 00:00:00,34,8,23,44,51,5,0,0,0,90,13541.69,6007,202.12,SIM,12014774.5,0
563,564,2004-05-19 00:00:00,38,13,32,20,10,49,0,0,0,46,25392.82,4446,261.73,SIM,20397765.64,0
564,565,2004-05-22 00:00:00,31,37,35,7,45,34,0,0,0,57,29241.27,6804,244.04,SIM,23314582.63,0
565,566,2004-05-26 00:00:00,17,6,20,18,13,37,0,0,0,176,11334.45,13032,152.49,SIM,26805592.27,0
566,567,2004-05-29 00:00:00,57,58,11,38,41,31,0,0,0,69,37888.61,5787,450.05,SIM,31380642.06,0
567,568,2004-06-02 00:00:00,25,41,17,29,13,22,0,0,0,457,7802.44,24931,142.48,SIM,37620642.34,0
568,569,2004-06-05 00:00:00,32,15,14,9,3,57,0,1,46663532.7,434,11906.37,29922,172.04,NÃO,0,0
569,570,2004-06-09 00:00:00,35,32,36,33,51,15,0,0,0,84,18168.1,7539,201.67,SIM,21431972.38,0
570,571,2004-06-12 00:00:00,14,31,12,13,51,50,0,0,0,69,22294.35,5572,275.04,SIM,24124014.99,0
571,572,2004-06-16 00:00:00,33,3,20,60,9,16,0,0,0,162,10668.49,9940,173.21,SIM,27148533.16,0
572,573,2004-06-19 00:00:00,59,29,17,6,40,22,0,0,0,82,25012.22,8272,247,SIM,30737786.41,0
573,574,2004-06-23 00:00:00,32,23,2,10,44,17,0,0,0,162,12609.31,12691,160.35,SIM,45420567.88,0
574,575,2004-06-26 00:00:00,18,29,21,48,35,5,0,2,25737016.52,470,7359.84,21660,159.1,NÃO,0,0
575,576,2004-06-30 00:00:00,18,43,52,39,7,8,0,0,0,27,22856.21,1978,310.81,SIM,1079955.77,0
576,577,2004-07-03 00:00:00,31,47,28,23,8,24,0,0,0,57,15092.9,4579,187.17,SIM,2585472.5,0
577,578,2004-07-07 00:00:00,48,3,58,18,56,23,0,1,3982872.62,62,12879.26,3639,218.6,NÃO,0,0
578,579,2004-07-10 00:00:00,15,34,39,17,4,9,0,1,1175432.13,90,7463.06,5172,129.38,NÃO,0,0
579,580,2004-07-14 00:00:00,38,16,18,28,15,47,0,0,0,56,16168.75,4097,220.17,SIM,9592944.81,0
580,581,2004-07-17 00:00:00,30,25,52,14,39,17,0,1,11781320.02,56,22330.36,4429,281.27,NÃO,0,0
581,582,2004-07-21 00:00:00,13,40,29,59,45,51,0,0,0,29,17143.4,1943,254.91,SIM,870027.37,0
582,583,2004-07-24 00:00:00,55,6,41,20,43,7,0,0,0,36,20218.13,2157,336.16,SIM,2143769.6,0
583,584,2004-07-28 00:00:00,30,53,23,7,32,8,0,0,0,49,13327.92,3278,198.48,SIM,8329175.8,0
584,585,2004-07-31 00:00:00,24,39,12,33,57,36,0,1,10166807.68,124,8468.35,7122,146.89,NÃO,0,0
585,586,2004-08-04 00:00:00,45,38,13,11,54,39,0,0,0,30,15687.92,2162,216.87,SIM,823615.95,0
586,587,2004-08-07 00:00:00,30,2,36,18,60,29,0,0,0,36,20518.92,2436,302.09,SIM,2116308.12,0
587,588,2004-08-11 00:00:00,45,13,46,55,53,11,0,0,0,22,29565.71,2088,310.34,SIM,3254587.92,0
588,589,2004-08-14 00:00:00,13,7,33,59,6,8,0,0,0,152,5926.91,9005,99.66,SIM,9594559.27,0
589,590,2004-08-18 00:00:00,25,51,5,18,4,28,0,0,0,70,14105.62,5155,190.82,SIM,11322497.59,0
590,591,2004-08-21 00:00:00,58,3,18,50,34,1,0,0,0,64,18968.95,4448,271.9,SIM,13447020.1,0
591,592,2004-08-25 00:00:00,55,14,59,47,13,42,0,0,0,60,18664.59,5062,220.39,SIM,15406801.69,0
592,593,2004-08-28 00:00:00,27,29,1,59,25,49,0,0,0,68,20265.54,5291,259.47,SIM,17818401.51,0
593,594,2004-09-01 00:00:00,10,53,55,29,13,47,0,0,0,121,11747.7,6444,219.76,SIM,27956987.94,0
594,595,2004-09-04 00:00:00,54,2,43,1,50,25,0,0,0,89,22736.36,7230,278.82,SIM,31498176.46,0
595,596,2004-09-08 00:00:00,43,60,28,11,54,14,0,0,0,116,15749.68,6578,276.69,SIM,34695360.86,0
596,597,2004-09-11 00:00:00,42,40,27,22,56,29,0,0,0,140,21650.75,10021,301.33,SIM,39999792.49,0
597,598,2004-09-15 00:00:00,5,16,53,38,50,34,0,2,23179951.19,234,15531.4,19229,188.29,NÃO,0,0
598,599,2004-09-18 00:00:00,6,45,51,9,23,4,0,0,0,65,10375.8,4755,141.31,SIM,15168219.08,0
599,600,2004-09-22 00:00:00,18,39,54,34,31,16,0,0,0,73,16062.92,4640,251.75,SIM,17220256.51,0
600,601,2004-09-25 00:00:00,37,19,29,30,10,22,0,0,0,75,18837.59,6002,234.5,SIM,19692689.9,0
601,602,2004-09-29 00:00:00,38,60,13,7,55,46,0,0,0,95,13988.93,6773,195.47,SIM,22018349.56,0
602,603,2004-10-02 00:00:00,4,8,11,29,12,44,0,1,24750883.61,233,6701.5,12565,123.8,NÃO,0,0
603,604,2004-10-06 00:00:00,41,49,51,25,15,46,0,0,0,15,35679.23,1422,374.94,SIM,8450325.62,0
604,605,2004-10-09 00:00:00,44,52,53,4,49,24,0,0,0,45,23716.98,3980,267.15,SIM,10318037.87,0
605,606,2004-10-13 00:00:00,41,6,23,55,32,35,0,1,11878491.65,43,20736.93,3770,235.63,NÃO,0,0
606,607,2004-10-16 00:00:00,6,59,11,27,19,41,0,0,0,48,13506.67,3059,211.14,SIM,1134560.21,0
607,608,2004-10-20 00:00:00,30,6,37,19,24,13,0,0,0,101,6267.54,5181,121.72,SIM,2242347.59,0
608,609,2004-10-23 00:00:00,15,2,59,60,6,58,0,0,0,60,13952.24,3994,208.81,SIM,8804117.7,0
609,610,2004-10-27 00:00:00,25,49,30,43,47,45,0,0,0,62,14911.12,4044,227.75,SIM,10421973.58,0
610,611,2004-10-30 00:00:00,22,21,33,16,48,49,0,0,0,69,16349.76,4531,248.04,SIM,12396207.89,0
611,612,2004-11-03 00:00:00,55,33,15,50,53,18,0,0,0,41,22250.05,3389,268.16,SIM,13992649.1,0
612,613,2004-11-06 00:00:00,54,55,13,44,6,19,0,0,0,108,12259.22,7101,185.76,SIM,16309642.4,0
613,614,2004-11-10 00:00:00,60,31,12,48,57,16,0,0,0,53,24951.84,4127,319.23,SIM,25638073.79,0
614,615,2004-11-13 00:00:00,27,31,8,10,51,5,0,0,0,157,11348.03,9780,181.48,SIM,28755943.65,0
615,616,2004-11-17 00:00:00,24,16,26,54,12,2,0,0,0,90,18187.52,9236,176.56,SIM,31620478.41,0
616,617,2004-11-20 00:00:00,25,5,49,36,33,3,0,2,17791387.59,289,7834.5,17341,130.08,NÃO,0,0
617,618,2004-11-24 00:00:00,60,10,3,8,24,13,0,0,0,86,6312.56,4992,108.34,SIM,950038.98,0
618,619,2004-11-27 00:00:00,16,12,46,14,8,19,0,0,0,101,7354.06,5924,124.91,SIM,10960275.81,0
619,620,2004-12-01 00:00:00,22,1,29,13,32,3,0,0,0,87,11707.09,5886,172.39,SIM,12742680.43,0
620,621,2004-12-04 00:00:00,29,31,50,26,57,49,0,0,0,40,32904.81,3837,341.73,SIM,15046017.24,0
621,622,2004-12-08 00:00:00,59,27,19,29,50,38,0,0,0,49,24789.92,3560,339.92,SIM,17171752.86,0
622,623,2004-12-11 00:00:00,42,23,55,30,9,49,0,0,0,124,12236.03,6915,218.59,SIM,19826970.07,0
623,624,2004-12-15 00:00:00,39,23,34,52,8,43,0,1,22375180.08,108,13482.59,7284,199.16,NÃO,0,0
624,625,2004-12-18 00:00:00,59,12,32,42,24,40,0,0,0,49,20777.72,4056,250.06,SIM,9935192.23,0
625,626,2004-12-22 00:00:00,49,8,22,18,7,39,0,0,0,52,21294.16,5096,216.47,SIM,11872960.59,0
626,627,2004-12-29 00:00:00,19,13,45,58,56,1,0,0,0,112,14270.18,8049,197.82,SIM,14669915.47,0
627,628,2005-01-05 00:00:00,8,16,22,56,58,30,0,1,17373966.13,76,20331.21,5510,279.37,NÃO,0,0
628,629,2005-01-08 00:00:00,40,47,39,16,51,15,0,1,1104456.38,15,42074.53,1865,337.13,NÃO,0,0
629,630,2005-01-12 00:00:00,16,53,20,60,12,45,0,0,0,33,24880.69,2972,275.23,SIM,8811801.94,0
630,631,2005-01-15 00:00:00,1,28,47,20,44,32,0,1,10579247.17,46,21955.84,3548,283.58,NÃO,0,0
631,632,2005-01-19 00:00:00,2,54,48,51,19,28,0,0,0,26,19697.02,1962,260.03,SIM,896214.44,0
632,633,2005-01-22 00:00:00,27,46,5,50,11,22,0,0,0,58,11744.77,3524,192.57,SIM,2088308.43,0
633,634,2005-01-26 00:00:00,13,41,24,42,10,56,0,0,0,54,11854.27,3752,169.97,SIM,7789137.3,0
634,635,2005-01-29 00:00:00,49,42,37,8,20,26,0,0,0,58,16456.84,3646,260.8,SIM,9459506.58,0
635,636,2005-02-02 00:00:00,30,32,34,50,28,26,0,0,0,74,12762.47,3170,296.79,SIM,11112246.45,0
636,637,2005-02-05 00:00:00,52,58,43,48,11,18,0,0,0,29,38451.69,3560,312.04,SIM,13063669.53,0
637,638,2005-02-12 00:00:00,42,10,50,41,11,36,0,0,0,65,22677.35,4518,325.03,SIM,15643218.5,0
638,639,2005-02-16 00:00:00,51,39,35,60,45,13,0,0,0,72,17653.96,5473,231.37,SIM,25066531.77,0
639,640,2005-02-19 00:00:00,12,42,59,46,19,60,0,0,0,129,14012.81,8094,222.49,SIM,28229924.76,0
640,641,2005-02-23 00:00:00,17,13,33,9,1,34,0,1,31923289.19,366,5766.38,20840,100.89,NÃO,0,0
641,642,2005-02-26 00:00:00,51,17,56,36,44,40,0,0,0,28,22758.8,1988,319.34,SIM,1115180.94,0
642,643,2005-03-02 00:00:00,14,45,24,37,40,42,0,0,0,41,15663.14,2694,237.48,SIM,2239011.24,0
643,644,2005-03-05 00:00:00,57,29,31,27,34,14,0,0,0,81,10667.36,4433,194.17,SIM,11328156.7,0
644,645,2005-03-09 00:00:00,52,48,24,53,54,3,0,0,0,39,27310.11,4345,244.2,SIM,13192071.41,0
645,646,2005-03-12 00:00:00,13,47,60,32,49,10,0,0,0,79,16079.41,6173,205,SIM,15415049.93,0
646,647,2005-03-16 00:00:00,56,19,11,14,12,54,0,1,17603353.15,50,25009.18,5432,229.34,NÃO,0,0
647,648,2005-03-19 00:00:00,5,48,23,42,45,29,0,3,361199.61,139,4454.67,4869,126.69,NÃO,0,0
648,649,2005-03-23 00:00:00,9,54,41,48,33,24,0,0,0,31,15748.23,2156,225.57,SIM,6720868.06,0
649,650,2005-03-26 00:00:00,53,59,25,29,10,24,0,0,0,29,24322.62,2765,254.15,SIM,7955241.21,0
650,651,2005-03-30 00:00:00,39,45,28,26,48,60,0,0,0,36,24882.92,4356,204.86,SIM,9522864.81,0
651,652,2005-04-02 00:00:00,24,18,57,56,10,20,0,0,0,41,27383.54,3874,288.71,SIM,11487633.94,0
652,653,2005-04-06 00:00:00,31,24,19,34,9,5,0,0,0,74,14994.32,6274,176.18,SIM,13429397.87,0
653,654,2005-04-09 00:00:00,10,11,56,40,41,6,0,1,15767596.35,66,20244.14,4745,280.52,NÃO,0,0
654,655,2005-04-13 00:00:00,26,39,1,37,43,48,0,0,0,23,33457.53,2722,281.64,SIM,7808614.22,0
655,656,2005-04-16 00:00:00,59,37,46,36,35,51,0,0,0,24,42026.73,2623,383.08,SIM,9573736.75,0
656,657,2005-04-20 00:00:00,20,59,58,33,60,16,0,1,11354235.39,56,18168.36,3995,253.72,NÃO,0,0
657,658,2005-04-23 00:00:00,41,20,36,3,11,6,0,0,0,31,18418.26,2883,197.3,SIM,999190.32,0
658,659,2005-04-27 00:00:00,14,29,40,34,51,52,0,0,0,22,27222.16,1390,429.22,SIM,7004050.46,0
659,660,2005-04-30 00:00:00,53,5,38,54,46,11,0,0,0,58,16751,4204,230.23,SIM,8704277.05,0
660,661,2005-05-04 00:00:00,42,40,27,4,55,36,0,0,0,64,15130.77,4211,229.09,SIM,10398923.36,0
661,662,2005-05-07 00:00:00,4,60,56,25,18,23,0,0,0,79,14974.99,5525,213.31,SIM,12469215.44,0
662,663,2005-05-11 00:00:00,1,49,30,55,27,51,0,0,0,64,17649.82,4020,279.93,SIM,14445995.2,0
663,664,2005-05-14 00:00:00,12,1,55,59,38,36,0,0,0,74,18450.77,4971,273.62,SIM,23857740.39,0
664,665,2005-05-18 00:00:00,8,47,7,48,25,18,0,0,0,185,8538.56,10055,156.51,SIM,26622098.55,0
665,666,2005-05-21 00:00:00,7,26,16,29,45,55,0,0,0,77,26923.37,8122,254.29,SIM,30250022.18,0
666,667,2005-05-25 00:00:00,5,23,16,4,49,1,0,1,34263173.55,203,11296.7,15283,149.48,NÃO,0,0
667,668,2005-05-28 00:00:00,49,33,56,2,14,1,0,0,0,53,11007.74,2814,206.54,SIM,1020967.19,0
668,669,2005-06-01 00:00:00,7,41,24,40,49,27,0,1,2170216.15,32,20522.3,2427,269.57,NÃO,0,0
669,670,2005-06-04 00:00:00,42,59,58,37,48,22,0,0,0,24,43085.53,2895,355.84,SIM,10792198.93,0
670,671,2005-06-08 00:00:00,27,16,39,51,9,38,0,0,0,67,16609.7,4259,260.3,SIM,12739685.49,0
671,672,2005-06-11 00:00:00,43,34,53,38,28,24,0,0,0,54,24277.19,4411,296.08,SIM,15033880.01,0
672,673,2005-06-15 00:00:00,6,40,37,11,20,34,0,0,0,72,17523.73,4792,262.3,SIM,17241869.86,0
673,674,2005-06-18 00:00:00,22,32,18,29,42,38,0,0,0,96,16070.11,5586,275.14,SIM,27769536.63,0
674,675,2005-06-22 00:00:00,50,42,30,25,43,24,0,0,0,67,26180.7,5204,335.79,SIM,30839224.48,0
675,676,2005-06-25 00:00:00,49,32,15,9,41,42,0,0,0,94,22081.78,7583,272.69,SIM,34471676.39,0
676,677,2005-06-29 00:00:00,25,10,48,8,32,55,0,0,0,284,8422.82,12803,186.14,SIM,38657818.81,0
677,678,2005-07-02 00:00:00,44,46,31,14,40,42,0,0,0,115,28311.43,9797,331.07,SIM,44355495.36,0
678,679,2005-07-06 00:00:00,37,21,54,3,58,25,0,1,51890452.61,448,9610.91,22087,194.2,NÃO,0,0
679,680,2005-07-09 00:00:00,44,2,26,5,3,22,0,0,0,188,7276.69,11222,121.45,SIM,19623257.97,0
680,681,2005-07-13 00:00:00,59,21,53,25,58,38,0,0,0,62,23695.09,5210,280.91,SIM,22194175.2,0
681,682,2005-07-16 00:00:00,60,37,47,36,4,27,0,0,0,62,25832.17,5647,282.55,SIM,24996965.62,0
682,683,2005-07-20 00:00:00,43,40,12,11,2,35,0,0,0,79,19666.04,5680,272.49,SIM,27715795.78,0
683,684,2005-07-23 00:00:00,50,37,33,40,19,17,0,0,0,81,22483.66,7103,255.42,SIM,40669733.33,0
684,685,2005-07-27 00:00:00,33,27,5,56,12,43,0,1,44331219.78,347,6029.62,15404,135.32,NÃO,0,0
685,686,2005-07-30 00:00:00,33,5,4,54,15,26,0,0,0,47,15221.72,3901,182.71,SIM,1251986.54,0
686,687,2005-08-03 00:00:00,59,48,1,7,41,14,0,0,0,28,25839.62,2887,249.66,SIM,2518128.16,0
687,688,2005-08-06 00:00:00,47,30,52,11,21,35,0,0,0,38,23920.89,2757,328.45,SIM,4108867.61,0
688,689,2005-08-10 00:00:00,6,60,7,31,49,51,0,0,0,29,30336.11,2998,292.33,SIM,12298361.58,0
689,690,2005-08-13 00:00:00,15,41,8,47,12,53,0,0,0,90,13225.5,5446,217.74,SIM,14381378.18,0
690,691,2005-08-17 00:00:00,55,16,58,8,37,50,0,0,0,54,20629.58,3896,284.85,SIM,16330873.12,0
691,692,2005-08-20 00:00:00,33,18,60,11,58,57,0,0,0,71,18365.13,4995,260.06,SIM,18612740.26,0
692,693,2005-08-24 00:00:00,14,50,41,17,31,13,0,0,0,152,8909.82,7170,188.18,SIM,20982752.64,0
693,694,2005-08-27 00:00:00,15,19,29,53,37,41,0,0,0,114,13859.26,7087,222.1,SIM,31925755.05,0
694,695,2005-08-31 00:00:00,13,40,21,52,6,11,0,0,0,76,22217.91,6333,265.62,SIM,34880737.54,0
695,696,2005-09-03 00:00:00,37,16,34,57,53,9,0,2,19251302.49,195,10613.53,10814,190.66,NÃO,0,0
696,697,2005-09-10 00:00:00,53,35,32,31,28,51,0,0,0,27,33337.57,2895,309.74,SIM,1575200.44,0
697,698,2005-09-14 00:00:00,22,8,27,43,55,12,0,0,0,43,16354.69,3981,175.99,SIM,2805890.89,0
698,699,2005-09-19 00:00:00,53,17,50,23,54,48,0,0,0,54,16259.09,3752,233.13,SIM,12141821.41,0
699,700,2005-09-21 00:00:00,2,3,24,40,31,14,0,0,0,53,17991.31,3584,265.04,SIM,13810515.56,0
700,701,2005-09-24 00:00:00,13,1,31,23,60,48,0,0,0,103,11253.13,5623,205.35,SIM,15838891.81,0
701,702,2005-09-28 00:00:00,1,56,18,58,45,57,0,0,0,47,22868.49,3663,292.31,SIM,17719825.24,0
702,703,2005-10-01 00:00:00,30,24,2,45,11,27,0,0,0,123,10767.16,7343,179.68,SIM,20037455.42,0
703,704,2005-10-05 00:00:00,2,27,50,34,18,4,0,0,0,56,22659.95,5784,218.56,SIM,29484065.62,0
704,705,2005-10-08 00:00:00,3,15,11,13,26,43,0,0,0,144,11780.58,11514,146.78,SIM,32452771.1,0
705,706,2005-10-15 00:00:00,22,10,17,7,2,60,0,0,0,282,7866.56,15980,138.3,SIM,36334914.54,0
706,707,2005-10-19 00:00:00,51,8,1,43,10,36,0,2,19919975.72,140,14306.28,12461,160.12,NÃO,0,0
707,708,2005-10-22 00:00:00,45,13,39,47,9,7,0,0,0,102,6567.35,5998,111.26,SIM,1172271.79,0
708,709,2005-10-26 00:00:00,29,22,44,9,6,4,0,0,0,106,5881.47,5202,119.39,SIM,11276978,0
709,710,2005-10-29 00:00:00,46,25,5,49,39,34,0,0,0,48,21483.28,4608,222.94,SIM,13081573.14,0
710,711,2005-11-05 00:00:00,10,5,41,59,40,33,0,0,0,79,18118.11,5840,244.16,SIM,15586402.01,0
